rec_id,uni_id,uni_name,dept_id,dept_name,description,rec_url,date_created,date_modified,user_rating,tags,rec_content
33,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/Arts-Administration.aspx,,,,,"Arts & Arts Administration – For careers in graphic arts, photography, museum operations and development; includes portfolio/internship advice and arts-focused associations (DePaul University Resources)"
34,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/entertainment-production.aspx,,,,,"Entertainment & Production – Covers film, TV, music, sports and digital media production workflows including casting, cinematography, editing, and production operations (DePaul University Resources)"
35,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/social-media-digital-marketing.aspx,,,,,"Social Media & Digital Marketing – Focuses on digital campaigns, SEO, content strategy, and mobile media; sample role list for careers in interactive marketing (DePaul University Resources)"
36,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/journalism-publishing.aspx,,,,,"Journalism & Publishing – Explores careers in reporting, publishing (print/digital/audio‑visual); includes pathways for newsroom and editorial internships across media formats (DePaul University Resources)"
37,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/drop-in-coaching.aspx,,,,,"Career Coaching, Resume Reviews & Other Services – Offers multiple access points: drop‑in career chat, asynchronous resume or LinkedIn review, and scheduled advising appointments through Handshake.(DePaul University Resources)"
38,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/drop-in-coaching.aspx,,,,,"Asynchronous Resume & LinkedIn Profile Reviews – Submit your document via Google Doc or Word (using a Depaul or Gmail account) then receive video feedback from a Peer Career Coach (response time ~1 week).(DePaul University Resources, DePaul University Resources)"
39,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/drop-in-coaching.aspx,,,,,"Drop-In Services (In-Person) – Resume, cover letter, and LinkedIn reviews available Mondays, Tuesdays, and Fridays from 11 am–2 pm at Loop (DPC 9500) and Lincoln Park (SAC 192). Drop-in hours may change; calling ahead is recommended.(DePaul University Resources)"
40,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/drop-in-coaching.aspx,,,,,"In‑Person, Virtual & Phone Advising Appointments – Book sessions via Handshake with Peer or Professional Career Coaches. Options include in-person, Zoom (link emailed), or phone (provide number). Coaches are aligned with specific Career Communities.(DePaul University Resources, DePaul University Resources)"
41,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,Resume Support Resources – Offers PDF guides on: resume basics; tailoring; ATS optimization; handling gaps; self-assessment; first‑year-specific tips.(DePaul University Resources)
42,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/default.aspx,,,,,"Interview Preparation & Practice – Resources and practice interviews via Peer Coaches, option to schedule mock interview appointments or use Big Interview platform. Alumni volunteers via ASK network also offer practice simulations.(DePaul University Resources)"
43,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/student-success/mentoring/Pages/default.aspx,,,,,"Peer Career Coaches – Offer drop‑in coaching sessions for resume/cover letter review, career guidance, help with Handshake, LinkedIn, and other Career Center services.(DePaul University Resources)"
44,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/default.aspx,,,,,"Resumes & Interviews (Main Page) – Career toolkit overview: covers Resumes, Cover Letters, Personal Statements, Portfolios, Interviews, Salary & Negotiation resources; connects to PDF guides and Big Interview platform (DePaul University Resources)"
45,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,Resumes Page – PDF resources including: Resume Basics; Resume Design Tips; Resume or CV?; Tailoring Your Resume; ATS optimization; Handling gaps; First‑year resume; Tools like self‑assessment (DePaul University Resources)
46,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/cover-letters.aspx,,,,,"Cover Letters Page – PDF guides: Writing Your Cover Letter, Tailoring Your Resume & Cover Letter; advice on formatting, customizing for roles, brand statement, effective structure and closing (DePaul University Resources, DePaul University Resources)"
47,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/personal-statements.aspx,,,,,"Personal Statements Page – Guidance for writing statements of purpose/intent, reflecting authenticity, professional goals, personal background, and fit with grad programs (DePaul University Resources)"
48,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/default.aspx,,,,,"Interviews Overview Page – Introduces interview preparation toolkit; Big Interview practice platform; outlines types of interviews (phone, video, group, technical, case studies) (DePaul University Resources, DePaul University Resources)"
49,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/sample-interview-questions.aspx,,,,,"Sample Interview Questions – List of common interview questions for entry‑level and experienced candidates (e.g. “Tell me about yourself,” “Where do you see yourself in five years?”, weaknesses, career fit questions) (DePaul University Resources)"
50,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/Campus-Interviews.aspx,,,,,"Campus Interviews Page – Prep guidance for career fairs & employer‑organized interviews (research, elevator pitch, resume review, attire, scheduling via Handshake, practice, Career Closet info) (DePaul University Resources)"
51,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/services-resources/Pages/career-library.aspx,,,,,"Career Library (handouts & PDFs) – Central hub for over 50 downloadable handouts including resume tailoring, video interview prep, career fair tips, blog posts, learning modules and videos (DePaul University Resources)"
52,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Resumes (Main Page) – Lists key PDF resources covering resume fundamentals, design, format options, ATS optimization, handling gaps, first‑year resumes, tailoring, and specialized types like student-athlete or project formatting tools (DePaul University Resources)"
53,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Resume Basics – Guides how to structure a resume as an effective personal brand advertisement; emphasizes the VIPS (values, interests, personality, skills) model, accomplishment statements (action + project + result), formatting for quick scanning, and tailoring toward specific job roles (DePaul University Resources)"
54,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Design Tips – Visual hierarchy, white space, font choices (e.g., serif vs sans‑serif), formatting cues (bold/italic), and maximizing clarity for fast reader engagement (DePaul University Resources)"
55,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,Resume vs. CV – Helps students and alumni decide when to use a resume versus a CV; covers structure considerations based on role type and academic/ professional context (DePaul University Resources)
56,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Tailoring Guide – Strategies for customizing documents per position, integrating keywords from job descriptions, and aligning brand messaging; referenced on main page and drop‑in resources (DePaul University Resources, DePaul University Resources)"
57,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Handling a Resume Gap – Approaches to explaining employment gaps through action-based framing, relevant skills, and experiential narratives (DePaul University Resources)"
58,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"ATS Optimization – Advice on crafting resumes that effectively parse through applicant tracking systems by using clear keywords, standard headings, and formatting that preserves content fidelity (DePaul University Resources, DePaul University Resources)"
59,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"Student‑Athlete Resume Tips – Guidance for translating athletic leadership, teamwork, and discipline into experiential and accomplishment‑driven bullet points (DePaul University Resources)"
60,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,"First‑Year Resume Guidance – Helps freshmen and new students highlight academic projects, leadership roles, volunteer activities, and transferable skills confidently and concisely (DePaul University Resources)"
61,1,DePaul University,0,null,Resumes & Interviews,https://resources.depaul.edu/career-center/resumes-interviews/Pages/resumes.aspx,,,,,Additional Resources – Covers functional vs chronological formats; using summary statements; listing projects effectively; includes self-assessment tool for resume readiness (DePaul University Resources)
62,1,DePaul University,0,null,Cover Letters,https://resources.depaul.edu/career-center/resumes-interviews/Pages/cover-letters.aspx,,,,,"Cover Letters (Main Page) – Introduces why craft a cover letter, emphasizes making a strong argument for your fit, alignment with desired skills and enthusiasm for the role/company. Offers two PDF guides: Writing Your Cover Letter and Tailoring Your Resume & Cover Letter (DePaul University Resources)"
63,1,DePaul University,0,null,Cover Letters,https://resources.depaul.edu/career-center/resumes-interviews/Pages/cover-letters.aspx,,,,,"Writing Your Cover Letter – Explains how to build a brand statement (combining experience, skills, background, passion), align it with the job posting, provide evidence and close professionally. Encourages customization and proofreading (DePaul University Resources)"
64,1,DePaul University,0,null,Cover Letters,https://resources.depaul.edu/career-center/resumes-interviews/Pages/cover-letters.aspx,,,,,"Tailoring Guide – Step-by-step on identifying keywords in job descriptions, creating a customized brand statement, and integrating keywords across your cover letter and resume to increase visibility in ATS and with human readers (DePaul University Resources, DePaul University Resources)"
65,1,DePaul University,0,null,Personal Statement,https://resources.depaul.edu/career-center/resumes-interviews/Pages/personal-statements.aspx,,,,,"Tips for Writing a Personal StatementGraduate schools often require a written statement—often called a “statement of purpose,” “personal statement” or “letter of intent”—as a part of the application. Some require fairly specific information. Others are unstructured, leaving the applicant free to address a wide range of topics. Usually the purpose is to persuade the admissions committee that you are a distinctive applicant who should be selected.Make sure everything you include supports the overall purpose of the statement, and remember the audience as you draft it. Your readers are professionals in their field, and they are assessing you for fit, distinctions, self‑awareness and quality in order to make their decision.Some do's: And don'ts:Read the instructions carefully. In applications with detailed instructions for the personal statement, not following them can hurt your chances of acceptance.Don’t use the “life story” approach. Stay focused on the program and why you’re an excellent candidate for it.Don’t use a catalog of achievements. Approaching your personal statement as an exhaustive list of what you have done tells little about you as a person.Don’t lecture the reader. The committee knows a lot about the discipline so don’t make unnecessary claims about the field.Spend some time reflecting. Think. Jot down some notes. What are your strengths? What makes you special?Be real. Readers can pick up if you’re not being authentic. Stay focused on who you are and what you bring to the table.## What to write in your personal statementSome programs provide questions or guidance to help you structure your statement. Analyze them. Answer the prompts fully and thoughtfully.Usually graduate and professional schools are interested in the following topics, although the form of the question(s) and answers may vary.Your professional and academic purpose in graduate studyInclude the big issues and questions you are especially interested in tackling, and how you intend to apply your graduate study in terms of your future career or other professional goals. You can demonstrate knowledge about the program by referring to faculty, curriculum or other program details.Your area of specializationWhy are you drawn to this area and how does this program align with your interests and goals? Learn about your area of interest in detail so that you are able to state your preferences using area‑specific language, and be sure it aligns with the program’s faculty and curriculum.How you’re uniquely prepared and qualifiedCorrelate your academic credentials and your extracurricular experience with program criteria to show how they combine to make you a special candidate. Present yourself as a distinct candidate based on your background, interests, goals or passions. Many programs value diversity, so this is also a great place to highlight your background or diverse perspectives.Why this program? Why now?Your statement should convince the committee that this is your top choice of any program. Research the school and describe its special appeal to you. Demonstrate that you know what is involved academically, and that your goals align with the details of the program. Also, make it clear why now is the right time for you to begin this study.Tell them who you are as a personRemember, your readers know nothing about you. Give them a strong sense of who you are as a person. Relate your application to personal experience or passion."
66,1,DePaul University,0,null,Personal Brand,https://resources.depaul.edu/career-center/networking/Pages/personal-brand.aspx,,,,,"Your Brand - A personal brand is just that—personal. It’s not about treating yourself like a product. Instead, defining your personal brand is about strategically, creatively and professionally presenting what makes you, you.If your resume and cover letter tell your professional story, your personal brand drives the character development. Your brand is the sum total of the things that make you unique and uniquely attractive as a job candidate. In short, it’s all about “Why you?”Experience + Skills + Background + Passions = Your BrandExperienceExperience might be academic (courses, major, projects), an internship, a part- or full‑time job, a volunteer opportunity or any relevant activity that helped you gain knowledge or build skills.""My robust experience in a wide variety of digital media production roles...""""My varied experiences in event planning and design...""SkillsThis part of your brand is all about what you can do! Your skills are center‑stage here. These skills might have been honed in a class or a job – or a skill you developed on your own.""My deep skills in data analysis and visualization...""""My robust skills in prototyping and UX...""BackgroundYour background is rich territory for shaping your brand in an authentic and compelling way. Sometimes it’s cultural identity or a unique athletic history. Regardless, this part of your brand says something meaningful about you!""My background as a volunteer interpreter in a trauma 1 neo‑natal unit...""""My background as a first generation college student who has successfully navigated college and career responsibilities...""PassionYour passions drive the decisions you make and they tell an employer a lot about what motivates you.""My passion for the intersection of social justice and mission‑driven travel...""""My passion for establishing relationships with various communities to advance the fight for environmental preservation...""## Craft Your Brand StatementA brand statement is an easy way to try to collect the most important parts of your brand into a single sentence that you can use in a cover letter, elevator pitch, interview or just to reflect on what makes you distinctive. Brainstorm a couple of ways to craft your brand statement.Fill in the blanks with different combinations of your experiences, skills, background, and passions.""My ______________, _______________, and ________________ make me an excellent candidate.""## Developing Your Elevator PitchOne of the most important elements in networking and building your personal brand is your elevator pitch. A 30‑second pitch or introduction that’s strategically crafted will help you make a meaningful first impression at job fairs, networking events, interviews, and even meetups with student organizations or professors. When developing your elevator pitch, you should showcase your best attributes and make sure it feels authentic and true to you.Your pitch should briefly touch on the following key points:• Your most important characteristics, interests and strengths• What you can offer to the employer and workforce• Your goal in connecting with the individual you’re pitchingIn order to develop an elevator pitch that works for you, it’s important to think about a few basic components that can make up the structure. Learn more about how to craft an impressive 30‑second elevator pitch on the HireDePaul blog."
67,1,DePaul University,0,null,Portfolio,https://resources.depaul.edu/career-center/resumes-interviews/Pages/portfolios.aspx,,,,,"Showcase Your Work - A portfolio is a presentation of your best work and demonstration of your skills. Portfolios can be used when applying for internships and jobs, gaining freelancing clients and applying to graduate schools.### Types of portfolios* Academic Portfolios are reflective assessments in academics, research, service and leadership combined with evidence to support your accomplishments. Academic portfolios are common in Education.* Demo Reels, or show reels, are a collection of your best work presented in an audio or video format. In industries like Animation, Film and TV, and Video Games, demo reels allow employers to assess your skill sets and talents and are submitted to employers for industry internships or jobs.* Print Portfolios are physical presentations of your best work that can be in the form of a book, interactive package or binder, for example. Print portfolios contain work such as ad campaigns, designs, illustrations, photographs or writing samples. Although many artists choose to showcase and share their work digitally, print portfolios are still common in industries such as Advertising, Fine Arts, Illustration, Photography and Graphic Design.* Web or Digital Portfolios allow you to showcase your work and skills online for an employer, client or class. Creating a professional digital portfolio provides an opportunity for all majors to show off key skills and talents. A web or digital portfolio (and/or a demo reel) is essential for success in the creative industries.### Ready to create a digital portfolio?Digital portfolios are terrific tools that can help you stand out in the application process. When you present employers with a portfolio, it provides tangible evidence of your skills and capabilities that a resume may only be able to hint at. The good news is you don’t need to be a tech whiz to create a digital portfolio. Here are a few key tips and tools to help you get started and build a digital masterpiece for your work."
68,1,DePaul University,0,null,Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/default.aspx,,,,,"PDF Resources• Interview Basics• Prepare for Your Interview• Ask Great Questions in Your Interview• Master the Video Interview• Common Interview Questions -  Practice interviewing online with Big Interview When preparing for a job interview, it's not enough to only read advice – you need to put that advice into practice! That's why Big Interview isn't just a training course. You'll also get hands‑on practice with mock interviews tailored to your specific industry, job and experience level.Get started today! Login at depaul.biginterview.com. Click the ""Login"" button at the top right and login using your Campus Connect credentials.### Interviewing OverviewAn interview is a structured conversation between you and an employer where you ask each other questions to determine if you would be a good fit for the job. There are two main pieces of information an employer wants to get during an interview:1. Why you want the job  2. Why they should hire youAll the questions the employer asks during the interview are designed to get more detailed information about these two things. So, to have a successful interview, you must convince the employer of these two things. In addition to your qualifications, the interview is about determining if you will “fit” into the organization.## Types of Interviews• In many job searches, the first interview is a phone screening. This is often conducted by an HR representative and is intended to better understand your qualifications and background. One‑sided video interviews are starting to fulfill this function as well.• The face‑to‑face interview can involve one or multiple staff, asking questions and assessing your candidacy.• A group interview features multiple candidates for the same or related roles. Typically, you are asked to deliver a group activity or work as a team.• Technical interviews are common among engineering, science or IT roles. Essentially, they assess your technical knowledge—as well as your analytical thinking skills.• In a case study interview, common for some business and consulting roles, you will be presented with a challenging business scenario to investigate and propose a solution.## Interviewing with confidenceBeing prepared will give you the confidence you need to successfully highlight your skills and accomplishments during the interviewing process. Because so much of the interview is based on performance, we recommend that you schedule a mock‑interview with Career Center staff or peers. You might even find it helpful to script answers to possible questions as a way to prep.### Drop in or schedule a practice interview• Peer Career Coaches hold drop‑in sessions and can conduct a practice interview with you. Check out the schedule here.• You can schedule an appointment with a Career Community Advisor through Handshake.• Through the Alumni Sharing Knowledge (ASK) network, you can connect with an alumni volunteer or professional in your field that can simulate a job or internship interview and provide one-on‑one guidance. Practice Interviews are offered on a by‑request basis via depaulasknetwork.com.## From the Career Library: Interview Resources• Interview Basics• Prepare for Your Interview• Ask Great Questions in Your Interview• Master the Video Interview• Dress for Success"
69,1,DePaul University,0,null,Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/sample-interview-questions.aspx,,,,,"Sample Interview Questions – Lists traditional and experience-level questions for preparation (DePaul University Resources, DePaul University Resources)"
70,1,DePaul University,0,null,Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/Campus-Interviews.aspx,,,,,"Campus Interviews – Details eligibility, scheduling, timeline, cancellation/no-show policies, preparation, open vs pre-select workflows (DePaul University Resources)"
71,1,DePaul University,0,null,Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/default.aspx,,,,,"Interview Basics (PDF) – Defines interview types (phone, face‑to‑face, group, technical, case study), offers guidance on scripting and performance preparation (DePaul University Resources)"
72,1,DePaul University,0,null,Interviews,https://resources.depaul.edu/career-center/resumes-interviews/interviews/Pages/default.aspx,,,,,"Prepare for Your Interview (PDF) – Step-by-step prep including research, matching strengths to job description, attire, follow-up, and mock interview strategy (DePaul University Resources)"
